
a,b,c,d,upper,f,g,h,tfidf,key,label
0.0,0.0,0.8,1.0,0.01167164173408561,0.87,0.484,0.364,0.01167164173408561,"Success from two leading coronavirus vaccine programs likely means other frontrunners will also show strong protection against COVID-19, Bill Gates said Tuesday.",1
0.0,0.0,-2.25,0.5,0.005962954972471628,1.0,1.0,1.0,0.005962954972471628,"The fact that two coronavirus vaccines recently showed strong protection against COVID-19 bodes well for other leading programs led by AstraZeneca, Novavax, and Johnson & Johnson, Bill Gates said Tuesday.The billionaire Microsoft founder and philanthropist said it will be easier to boost manufacturing and distribute these other shots to the entire world, particularly developing nations.The vaccine space has seen a flurry of good news in recent days, marked by overwhelming success in late-stage trials by both Pfizer and Moderna.",1
0.0,0.0,1.0,0.333,0.01805993892231603,0.304,0.189,0.0,0.01805993892231603,The studies showed both vaccines provided strong protection against the virus compared to a placebo.,0
1.0,0.0,-0.1,0.25,0.011462550531802224,0.478,0.755,0.909,0.011462550531802224,"""With the very good news from Pfizer and Moderna, we think it's now likely that AstraZeneca, Novavax, and Johnson & Johnson will also likely show very strong efficacy,"" Gates told journalist Andrew Ross Sorkin.",1
0.0,0.0,1.0,0.2,0.01971493418932144,0.13,0.238,0.091,0.01971493418932144,"While Gates didn't delve into the scientific rationale behind that prediction, many scientists hold the same hope.",0
0.0,0.0,1.0,0.2,0.02160297186066368,0.174,0.158,0.0,0.02160297186066368,All the leading vaccine candidates target the same part of the coronavirus in the spike protein.,0
0.0,0.0,0.6,0.25,0.013235712443217544,0.13,0.305,0.0,0.013235712443217544,"Early-stage clinical trials showed all the shots elicited varying levels of neutralizing antibodies, virus-fighting proteins that play a critical role in the body's immune response.",0
0.0,0.0,0.35,0.333,0.01305082709345961,0.13,0.191,0.0,0.01305082709345961,But the only way to know if that translates to protection is by running late-stage trials that enroll tens of thousands for volunteers who receive either the experimental shot or placebo injections.,0
0.0,0.0,1.0,0.5,0.01767904411100963,0.261,0.212,0.0,0.01767904411100963,The scientific success has turned the top challenges surrounding a COVID-19 vaccine to the manufacturing and distribution front.,0
0.0,1.0,0.85,1.0,0.015927200985254637,0.217,0.263,0.0,0.015927200985254637,"Gates noted that the world will be supply constrained for 2021, but these additional vaccines will prove valuable on that front.",0
0.0,0.0,1.0,1.0,0.029855578474373187,1.0,0.497,0.5,0.029855578474373187,World Health Assembly charts course for COVID-19 response and global health priorities.,1
0.0,0.0,0.6,0.5,0.014726100063967172,0.455,0.904,0.625,0.014726100063967172,"As health leaders prepare to gather for a virtual session of the resumed 73rd World Health Assembly (WHA), WHO has three messages to share.",1
1.0,0.0,1.0,0.333,0.03022783531342829,0.182,0.479,0.0,0.03022783531342829,"First, we can beat COVID-19 with science, solutions and solidarity.",1
1.0,1.0,0.8,0.25,0.025203106465573832,0.182,0.545,0.125,0.025203106465573832,"More than 47 million COVID-19 cases have now been reported to WHO, and more than 1.2 million people have lost their lives.",0
